ч1ч1в,čʼːʷ
к1к1в,kʼʷː
лълъв,ɬːʷ
к1ё,kʼʲo
к1к1,kʼː
ц1ц1,cʼː
ц1я,cʼʲa
ц1ю,cʼʲu
ч1ч1,čʼː
к1ю,kʼʲu
к1я,kʼʲa
ц1ё,cʼʲo
к1в,kʼʷ
кьв,ƛʼʷ
щю,šːʲu
щя,šːʲa
лълъ,ɬː
ччв,čːʷ
ккв,kːʷ
хьё,xʲo
ч1в,čʼʷ
къв,qʼʷ
ххв,χːʷ
хью,xʲu
щё,šːʲo
хья,xʲa
гё,gʲo
хьв,xʷ
щв,šːʷ
мё,mʲo
шя,šʲa
кю,kʲu
мю,mʲu
кё,kʲo
лъв,ɬʷ
зю,zʲu
хъв,qʷ
гя,gʲa
гъв,ʁʷ
зя,zʲa
зё,zʲo
мя,mʲa
кя,kʲa
шё,šʲo
гю,gʲu
л1в,ƛʷ
шю,šʲu
т1,tʼ
кк,kː
кв,kʷ
чв,čʷ
гв,gʷ
ч1,čʼ
цц,cː
хх,χː
ц1,cʼ
сс,sː
чч,čː
к1,kʼ
къ,qʼ
хв,χʷ
кь,ƛʼ
гь,h
хъ,q
хь,x
лъ,ɬ
дж,ǯ
я,ja
гъ,ʁ
х1,ħ
г1,ʕ
л1,ƛ
ю,ju
а,a
к,k
ч,č
з,z
р,r
е,e
ш,š
ц,c
л,l
г,g
ъ,ʔ
о,o
х,χ
б,b
в,w
н,n
п,p
ф,f
т,t
й,j
и,i
м,m
ж,ž
д,d
с,s
у,u
э,e
щ,šː
