Cyrillic; Latin
хъв;qʷ
к1в;k'ʷ
къв;q'ʷ
гъв;ʁʷ
г1в;ʡʷ
гьв;hʷ
чв;čʷ
гв;gʷ
кв;kʷ
хв;χʷ
хьв;xʷ
ъв;ʔʷ
хх;χː
шш;šː
чч;čː
ау;aʔu
ао;aʔo
аа;aʔa
ае;aʔe
аи;aʔi
уу;uʔu
уо;uʔo
уа;uʔa
уе;uʔe
уи;uʔi
оу;oʔu
оо;oʔo
оа;oʔa
ое;oʔe
ои;oʔi
еу;eʔu
ео;eʔo
еа;eʔa
ее;eʔe
еи;eʔi
иу;iʔu
ио;iʔo
иа;iʔa
ие;iʔe
ии;iʔi
уэ;uʔe
оэ;oʔe
аэ;aʔe
еэ;eʔe
иэ;iʔe
эу;eʔu
эо;eʔo
эа;eʔa
эи;eʔi
п1;p'
т1;t'
ц1;c'
къ;q'
к1;k'
ч1;č'
ия;ija
уя;uja
щ;šː
г1а;ʡaˤ
х1я;ʜaˤ
ях1;aˤʜ
х1ё;ʜoˤ
х1;ħ
я;aˤ
ё;oˤ
гь;h
гъ;ʁ
дж;ǯ
хь;x
хъ;q
г1;ʡ
а;a
б;b
в;w
г;g
д;d
е;e
ж;ž
з;z
и;i
й;j
п;p
р;r
с;s
т;t
у;u
ф;f
х;χ
ц;c
к;k
л;l
м;m
н;n
ч;č
ш;š
ъ;ʔ
э;e
